Foundation,Legal_Name,ABN,DGR_Status,Website,Address,ACNC_Registered,Entity_Type,Priority_Score,Focus_Areas,Grant_Size,Eligibility,Application_Type,Recent_Grants,Contact_Details,Recommended_Next_Step
StreetSmart Australia,StreetSmart Australia,51 106 387 446,No (PBI status),streetsmartaustralia.org,Melbourne VIC,Yes,PBI (Homelessness),3,"Homelessness prevention; emergency relief; housing; frontline wellbeing",$2K-$25K,DGR NOT required; Turnover <$5M preferred; Homelessness focus,Invitation only,"Outer East Foodshare (food for homelessness); $100K women's homelessness; DineSmart Legacy Grants","Contact form: streetsmartaustralia.org/contact/","EXPRESS INTEREST via contact form. Position food rescue for homelessness (warm meals, emergency food). Acknowledge size but propose pilot. Timing: before \"Delivering Care in a Crisis\" round (May/Jun)."
Flight Centre Foundation,Flight Centre Foundation,N/A,Unknown,flightcentrefoundation.com.au (inaccessible),Linked to Flight Centre Travel Group (ASX),No,Corporate Foundation,3,"Community & humanitarian; travel/transport",Unknown,Unknown,Unknown,"FareShare \"Business\" supporter","Check Flight Centre website for community grants","RESEARCH application process. If open, apply with logistics/transport angle for food rescue operations."
Mutual Trust Foundation,Mutual Trust Foundation,N/A,N/A (not a grantmaker),mutualtrust.com.au,Melbourne VIC,No,Wealth Mgmt/Philanthropy,2,"Philanthropy advisory; client PAF management",N/A,N/A,N/A,N/A,"enquiry.mel@mutualtrust.com.au; Melbourne office (Wurundjeri Country)","NETWORK — not a direct funder. Contact philanthropy team (Giving with Purpose) to introduce OZHARVEST. Ask if client families interested in food security/food waste."
Clayton Utz Foundation,Clayton Utz Pro Bono Practice,N/A,N/A (not a grantmaker),claytonutz.com/about/pro-bono-practice,"Brisbane, Canberra, Darwin, Melbourne, Perth, Sydney",No,Law Firm Pro Bono,2,"Pro bono legal services for NFPs",N/A,N/A,Referrals through legal aid centres only,"1M+ hrs pro bono since 1997; 1,800+ NFPs advised","Jessica Morath (Head of Pro Bono): jmorath@claytonutz.com, +61 2 9353 4828; David Hillard: dhillard@claytonutz.com, +61 2 9353 4800","REQUEST PRO BONO LEGAL SUPPORT. Contact Jessica Morath for governance, contracts, food safety compliance, employment law, partnership agreements."
NAB Foundation,NAB Foundation,N/A,Unknown,nab.com.au/about-us/community (404 - page not found),National,No,Corporate Foundation,2,"Community resilience; disaster recovery; financial wellbeing; mental health (historical)",Unknown,DGR1 required; National,Unknown (program may be discontinued),"SecondBite (FY24 supporter — amount unknown)","NAB Community team: 03 8641 9083","**DOWNGRADED**: Call NAB Community (03 8641 9083) to confirm if Foundation grant program exists. If confirmed, monitor. If discontinued, SKIP."
Gourlay Charitable Trust,The Trustee for the Gourlay Charitable Trust,22 574 231 421,Yes (DGR from 01 Oct 2009),None found,VIC 3142 (Malvern area),No,Discretionary Investment Trust,2,"Addiction rehabilitation (First Step)",Unknown,DGR1 + Income Tax Exempt; Australia-based,Unknown,"First Step (drug/alcohol rehabilitation)","No public contact details; referenced via First Step","Very low accessibility. Identify trustee through First Step network if pursuing. Low priority given poor fit and access barriers."
Nigel & Patricia Peck Foundation,The Trustee for Nigel & Patricia Peck Foundation,78 185 965 429,Yes (DGR from 01 Oct 2009),None found,VIC 3142 (Malvern area),Not confirmed,Discretionary Investment Trust,2,Unknown,Unknown,DGR1 + Income Tax Exempt; Australia-based,Unknown,None publicly known,"No public contact details","Very low accessibility. Would need family connections through philanthropic networks. Low priority."
Pavetta Foundation,The Trustee for Pavetta Foundation,82 185 843 288,Yes (DGR from 29 Apr 2014),None found,NSW 2000 (Sydney CBD),No,Discretionary Investment Trust,2,"Medical/scientific research",Unknown,DGR1 + Income Tax Exempt; Australia-based,Unknown,"Research (MJ Clifford publications)","No public contact details","Very low accessibility and poor thematic fit. Low priority."
HV McKay Charitable Trust,HV McKay Charitable Trust,N/A,Unknown,None found,VIC (Sunshine heritage),Unknown,Historical Trust,1,"General charitable; agricultural heritage",Unknown,Unknown,Invitation only,"SecondBite supporter","Likely managed by trustee company","RESEARCH FURTHER via ACNC register. Low priority unless active grantmaker confirmed."
Erdi Foundation,Erdi Foundation,N/A,Unknown,erdifoundation.com.au (separate from erdi.com.au),"195 Swanston St, Melbourne VIC 3000",Unknown,Hospitality-linked,1,"Hospitality industry/community",Unknown,Unknown,Unknown,"FareShare supporter","+61 3 8660 3630; enquiries@erdi.com.au","RESEARCH erdifoundation.com.au. Low priority unless open rounds aligned with food security."
Arcare Family Foundation,Arcare Family Foundation,N/A,Unknown,None found,Linked to Arcare Aged Care,Unknown,Aged care-linked,1,"Aged care community",Unknown,Unknown,Unknown,"FareShare supporter (likely)","No independent foundation website","SKIP. Too narrow — aged care sector only. No food rescue alignment."
Campbell Edwards Trust,Campbell Edwards Trust,N/A,Unknown,None found,Unknown,Unknown,Trust,1,"Unknown",Unknown,Unknown,Unknown,"FareShare supporter","No public website found","SKIP. No discoverable information. Low priority."
